time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-25 00:00:00+00:00,3,3,10,3
2026-03-26 00:00:00+00:00,7,6,0,0
2026-03-27 00:00:00+00:00,168,56,5,4
2026-03-28 00:00:00+00:00,79,36,2,1
2026-03-29 00:00:00+00:00,4,4,3,3
2026-03-30 00:00:00+00:00,8,6,6,5
2026-03-31 00:00:00+00:00,5,4,6,4
2026-04-01 00:00:00+00:00,3,3,10,7
2026-04-02 00:00:00+00:00,13,5,7,5
2026-04-03 00:00:00+00:00,2,2,7,6
2026-04-04 00:00:00+00:00,7,5,3,3
2026-04-05 00:00:00+00:00,2,2,7,3
2026-04-06 00:00:00+00:00,2,2,5,5
2026-04-07 00:00:00+00:00,5,3,4,4
